family,probability,sample_size,p2_type7_bias,p2_type7_mae,adaptive_type7_bias,adaptive_type7_mae,adaptive_over_p2_type7_mae,p2_true_bias,p2_true_mae,adaptive_true_bias,adaptive_true_mae,adaptive_over_p2_true_mae
"Normal(0,1)",0.95,100,0.06331241303098412,0.09794437426789467,-0.6804228873204126,0.7168259112970453,7.318704281436354,0.035070785609353304,0.17060596636093234,-0.7086645147420432,0.7639558671578469,4.47789654402607
"Normal(0,1)",0.95,250,0.005779570341235168,0.05060342487838824,-0.5972817738475115,0.632511151421066,12.49937435936672,0.0067464680457627905,0.099138679475212,-0.5963148761429837,0.6460002119447916,6.516126857492725
"Normal(0,1)",0.95,500,0.00021331946648960043,0.03966616033826338,-0.5248020437913354,0.5707191493391601,14.388061372015992,0.0009758898957636597,0.07994515471293519,-0.5240394733620614,0.5677364678095552,7.101574446233388
"Normal(0,1)",0.95,1000,0.0006928066396305749,0.025583280476364312,-0.46574807497218956,0.5042498011142343,19.71013066835181,0.004747017697377373,0.051421751174565766,-0.4616938639144427,0.5013709978988862,9.750173544203884
"Normal(0,1)",0.95,2500,0.00043268230492069513,0.01424271688186426,-0.39519362584184503,0.42990346403669627,30.18409111144427,0.007451247282017584,0.037493886020586474,-0.3881750608647482,0.42295803637245843,11.28072017235632
"Normal(0,1)",0.95,5000,-5.2451685632284864e-05,0.007946025381995389,-0.3493643259853024,0.3798970057039989,47.80968942847751,0.00809533945553991,0.028626655766796773,-0.34121653484413017,0.37223351938287125,13.003038930401857
"Normal(0,1)",0.95,10000,-0.0008267805344955109,0.004674462860295617,-0.30299640105957737,0.3302507541298817,70.64998995606446,0.0008105574552623839,0.01775710987724861,-0.3013590630698194,0.32896416221701885,18.52577161999239
"Normal(0,1)",0.99,20,-0.41829928700408703,0.45737189172816584,-1.1252700170964023,1.128287741657711,2.4668934887854825,-0.8961484219399661,0.9296104563065531,-1.6031191520322814,1.6123182943001324,1.734402064178639
"Normal(0,1)",0.99,50,-0.31799318418667444,0.36751453357900254,-1.1885816081535687,1.1918257118071394,3.242934912534389,-0.5342354353269991,0.567697469693586,-1.4048238592938933,1.414787170577592,2.4921498616881657
"Normal(0,1)",0.99,100,-0.11949987945285631,0.15470203356912196,-1.1219083893773312,1.1219083893773312,7.252059740223483,-0.2858757181013458,0.3395633119509912,-1.2882842280258207,1.29780174459889,3.821972807198324
"Normal(0,1)",0.99,250,0.03218960883705112,0.0934631513353986,-1.1006371367594898,1.1052925599118737,11.825971456338545,-0.020009170121966048,0.15474073002217592,-1.1528359157185073,1.1620173541120522,7.509447279623944
"Normal(0,1)",0.99,500,0.04035293640954185,0.07045760300840906,-1.0330858314479952,1.0349286813566587,14.688672863780802,0.010771430119756911,0.13977397578028222,-1.0626673377377798,1.071367801094526,7.665001979901203
"Normal(0,1)",0.99,1000,0.029245807663235535,0.05521888842036038,-0.977841863340597,0.9829677812848878,17.801296067424037,0.02509498122901263,0.08785675763741677,-0.98199268977482,0.9903886056870059,11.272765263820931
"Normal(0,1)",0.99,2500,0.005640731476160432,0.03067678457761728,-0.8922461020132506,0.8969067877366438,29.237314147684646,0.01214050699265834,0.06621804704891514,-0.8857463264967528,0.8939886197768854,13.500679340731656
"Normal(0,1)",0.99,5000,0.00024907025315690776,0.02111635698948606,-0.8258784491546672,0.8327684049839039,39.437124755872595,0.004135223445711533,0.04741048731451308,-0.8219922959621127,0.829873920617348,17.504015833292453
"Normal(0,1)",0.99,10000,0.00037126329704423864,0.012005542502434425,-0.7641546664790779,0.7712877065781438,64.24430269783693,-0.0006129234250589366,0.030550314394806582,-0.7651388532011811,0.7727382893063635,25.29395538520957
"Student-t(df=3), unit variance",0.01,20,0.5436060123140347,0.6005391046939904,1.1993562687452513,1.2127318777740521,2.019405344789345,1.4741734639488084,1.486922751121672,2.1299237203800248,2.140402884719876,1.4394849248928674
"Student-t(df=3), unit variance",0.01,50,0.6687862046908404,0.7139700823759739,1.6533750033073296,1.6683916927476303,2.336780957537464,0.9988555958378413,1.0630082098304927,1.9834443944543305,1.9932579772764172,1.8751106142390586
"Student-t(df=3), unit variance",0.01,100,0.246431845836675,0.32276776214021247,1.679080914476328,1.679080914476328,5.202133271745162,0.45420865372544234,0.6827946562221022,1.8868577223650955,1.8977603443660533,2.7794012842255493
"Student-t(df=3), unit variance",0.01,250,-0.2827226613938221,0.33173218195065884,1.63687958469146,1.6419696656968483,4.9496845800178395,-0.14073430261586006,0.551345372864963,1.7788679434694221,1.7890721799912783,3.24492100241034
"Student-t(df=3), unit variance",0.01,500,-0.13951765955027723,0.2596005208808698,1.6423766560321695,1.6423766560321695,6.326553777547515,-0.0773092408113593,0.3950586873163603,1.7045850747710873,1.7149198621248587,4.340924316268896
"Student-t(df=3), unit variance",0.01,1000,-0.05510180519441536,0.1590283123195566,1.6050174383657683,1.6050174383657683,10.092652150772969,-0.022261262277866577,0.30995198987230144,1.6378579812823173,1.6482308656952072,5.317697319427662
"Student-t(df=3), unit variance",0.01,2500,-0.016852313858437336,0.10062384171814127,1.522121759023559,1.5232313767811272,15.137877373514222,0.0179736656883427,0.17966092294625413,1.556947738570339,1.56725899551939,8.723427275213533
