probability,sample_size,p2_type7_bias,p2_type7_mae,p2_type7_rmse,p2_type7_p95_abs,p2_type7_max_abs,p2_true_bias,p2_true_mae,type7_true_bias,type7_true_mae,p2_type7_mae_ratio
0.99,50,-0.3199353467558325,0.35984772529959186,0.42253153056353465,0.7831267888470356,1.2427183840646812,-0.6088964276250013,0.6423633248322915,-0.28896108086916866,0.38937510904203726,1.649728783158919
0.01,100,0.1442381941535284,0.18439286515314865,0.25248524708548714,0.5451885901633174,1.137915950638848,0.31113910796610433,0.3658767919488819,0.166900913812576,0.28390840865571054,1.288714179623234
0.05,100,-0.05706827794648724,0.1036896673212221,0.1505294164095728,0.304345713109068,1.0625538664316603,-0.01385549173691689,0.18439913951356854,0.04321278620957035,0.17286685736660343,1.0667119326552474
0.5,100,-0.008685456381661776,0.042912195081911096,0.05411744589915393,0.10866139268454769,0.19255733723375046,-0.01322087331997383,0.10488414890689196,-0.0045354169383120535,0.10163945362998834,1.0319235804701954
0.95,100,0.05752360359994792,0.09930236809113736,0.1403906034929977,0.28687561896359476,0.7846806603893002,0.0032776487136954523,0.1756443341229296,-0.05424595488625246,0.17325822043403336,1.0137720085253024
0.99,100,-0.13095153385506916,0.16851420623045416,0.2350689442928386,0.4946978494796675,1.3188602218819383,-0.3117192024511356,0.3651825628344495,-0.18076766859606647,0.30292819667566295,1.2055086546645923
0.01,250,-0.04529294736048653,0.09461249074216531,0.14632499028599083,0.2670463528159307,1.3228963589472658,0.031475089487646116,0.18200765169308825,0.07676803684813266,0.1742976657185414,1.0442345911103426
0.05,250,-0.013697517602332116,0.05812369020933364,0.08457106577493981,0.16617997221712458,0.47247478373258645,0.012047209853793643,0.11299293226683148,0.025744727456125757,0.10371714874822104,1.0894334604311955
0.5,250,-0.0027328936472007623,0.022367895508473873,0.029567468299388937,0.06015098504680698,0.11430747255215754,-0.00660090914526897,0.06411827826730634,-0.0038680154980682076,0.06388716864842252,1.0036174653498209
0.95,250,0.006795877655441987,0.05739783692839422,0.0814154514107777,0.15527414247911775,0.5176525977699571,-0.01589347211906835,0.11652817447964829,-0.02268934977451034,0.10596440809766165,1.0996916471448657
0.99,250,0.04900418373056859,0.09810311586090842,0.1444043252647101,0.2733596372548665,1.2468884355409267,-0.027569026878335703,0.18228749782714704,-0.0765732106089043,0.1796828982089038,1.0144955343229998
0.01,500,-0.04135009559918059,0.0811719910585565,0.1298711281774209,0.2117277890968792,1.1737527613660728,-0.00794785213322267,0.1373135006256194,0.033402243465957916,0.13010771051200606,1.0553832673348624
0.05,500,-0.009807603984660497,0.038605901596181484,0.05584116381025234,0.10758792356761177,0.584416127218883,-0.0013090291502645347,0.08134359367755528,0.008498574834395962,0.07489835853168399,1.086053089443139
0.5,500,-0.002742052254001683,0.014198256462591981,0.018314660181334444,0.03787500000492235,0.07359194506761609,-0.00454228680568763,0.04682420791211152,-0.001800234551685948,0.046309130267577506,1.0111225937856716
0.95,500,0.01202647015777825,0.041190439514111395,0.05942284712808614,0.11090333844339016,0.3867479672033822,0.0026774610357278407,0.08586779837154666,-0.00934900912205041,0.07580728514965443,1.1327116938963233
0.99,500,0.039239318854345416,0.07564266186405558,0.10643688224809404,0.20861975000737687,0.7469856035734961,-0.0006746854948946077,0.13435962451509073,-0.039914004349240015,0.13172149289817464,1.02002810292285
0.01,1000,-0.021789603272100895,0.05712616931868706,0.08879491470513987,0.15423514632240243,0.7724647487305782,-0.0009177667194127477,0.10277168944675298,0.020871836552688143,0.09569851966305121,1.0739109633942718
0.05,1000,-0.0055451993952087995,0.026183157340453535,0.038327478013350916,0.06673901932933142,0.3975102931700196,-6.499150503942918e-05,0.05721330627988845,0.00548020789016937,0.05378231270445419,1.063794087738256
0.5,1000,-0.0012050018601961006,0.008164797115750543,0.010573057693841186,0.02147510099476266,0.04271602259280786,-0.0015255722856547618,0.03104712239064825,-0.00032057042545866136,0.03148778245653589,0.9860053636201309
0.95,1000,0.0053044500434443155,0.026197884357832657,0.041703057823622824,0.067276663221481,0.42852859934059273,0.0029648018126500644,0.05673687905431934,-0.0023396482307942506,0.05104098965601294,1.1115944153256712
0.99,1000,0.022304906821607236,0.05214136156440131,0.0810660534543999,0.14067025144334902,0.7801291572192572,0.0007987152395664033,0.0998129728574539,-0.02150619158204083,0.09331280771060019,1.0696599460066971
